wavelet,plv,ar,class
0.136699895,0.226511942,1.22E-10,0
1,0.254833945,0.280063315,0
0.534774936,0.192452906,0.514506304,0
0.170725335,0.201736741,0.745313028,0
0.297927879,0.231527861,0.393349697,0
0.178827738,0.184454874,0.448824274,0
0.300936618,0.394976957,0.306281972,0
0.958432359,0.29495373,0.398292095,0
0.126475858,0.159601206,0.653784769,0
0.673267882,0.217374736,0.038534513,0
0.66531214,0.211862448,0.152563507,0
0.402063296,0.210884727,1,0
0.30017105,0.212387307,0.257606019,0
0.195836663,0.164416494,0.433578481,0
0.085665705,0.18730381,1.60E-11,1
0.260515098,1,1.55E-09,1
0.178197383,0.77139232,8.31E-10,1
0.098403204,0.263646718,1.50E-11,1
0.12978454,0.200739219,1.33E-10,1
0.108486971,0.453643941,1.27E-10,1
0.103455443,0.213752541,2.97E-10,1
0.132788757,0.233740282,7.78E-11,1
0.172267816,0.584566593,1.04E-10,1
0.243297196,0.386488013,2.50E-10,1
0.312466229,0.279148935,1.20E-10,1
0.164133488,0.529778157,1.54E-09,1
0.117641707,0.272663115,8.35E-11,1
0.095561257,0.139415565,2.37E-11,1
